timestamp,k,comando_l_hip_roll,real_l_hip_roll,erro_l_hip_roll,comando_l_knee,real_l_knee,erro_l_knee
1.76004e+09,134,-0.0629054,-0.0629599,-5.44581e-05,0.610794,0.610781,-1.29269e-05
1.76004e+09,135,-0.0628509,-0.0629054,-5.45464e-05,0.610807,0.610794,-1.28607e-05
1.76004e+09,136,-0.0627962,-0.0628509,-5.46383e-05,0.61082,0.610807,-1.2795e-05
1.76004e+09,137,-0.0627415,-0.0628509,-0.000109372,0.610832,0.610807,-2.55246e-05
1.76004e+09,138,-0.0626867,-0.0627962,-0.000109567,0.610845,0.61082,-2.53943e-05
1.76004e+09,139,-0.0626317,-0.0627415,-0.000109769,0.610858,0.610832,-2.52647e-05
1.76004e+09,140,-0.0625767,-0.0626867,-0.000109978,0.61087,0.610845,-2.51359e-05
1.76004e+09,141,-0.0625215,-0.0625767,-5.51521e-05,0.610883,0.61087,-1.24718e-05
1.76004e+09,142,-0.0624663,-0.0625215,-5.52656e-05,0.610895,0.610883,-1.24081e-05
1.76004e+09,143,-0.0624109,-0.0624663,-5.53827e-05,0.610907,0.610895,-1.23447e-05
1.76004e+09,144,-0.0623554,-0.0624109,-5.55035e-05,0.61092,0.610907,-1.22815e-05
1.76004e+09,145,-0.0622997,-0.0623554,-5.56278e-05,0.610932,0.61092,-1.22184e-05
1.76004e+09,146,-0.062244,-0.0623554,-0.000111383,0.610944,0.61092,-2.4374e-05
1.76004e+09,147,-0.0621881,-0.0622997,-0.000111643,0.610956,0.610932,-2.42485e-05
1.76004e+09,148,-0.0621321,-0.0621881,-5.60222e-05,0.610968,0.610956,-1.20303e-05
1.76004e+09,149,-0.0620759,-0.0621321,-5.61608e-05,0.61098,0.610968,-1.19679e-05
1.76004e+09,150,-0.0620196,-0.0620759,-5.6303e-05,0.610992,0.61098,-1.19055e-05
1.76004e+09,151,-0.0619632,-0.0620759,-0.000112752,0.611004,0.61098,-2.37487e-05
1.76004e+09,152,-0.0619066,-0.0620196,-0.000113047,0.611016,0.610992,-2.3624e-05
1.76004e+09,153,-0.0618498,-0.0619632,-0.000113349,0.611027,0.611004,-2.34994e-05
1.76004e+09,154,-0.0617929,-0.0618498,-5.69073e-05,0.611039,0.611027,-1.16562e-05
1.76004e+09,155,-0.0617358,-0.0617929,-5.70673e-05,0.611051,0.611039,-1.15938e-05
1.76004e+09,156,-0.0616786,-0.0617358,-5.72309e-05,0.611062,0.611051,-1.15313e-05
1.76004e+09,157,-0.0616212,-0.0616786,-5.7398e-05,0.611074,0.611062,-1.14687e-05
1.76004e+09,158,-0.0615637,-0.0616786,-0.000114967,0.611085,0.611062,-2.28747e-05
1.76004e+09,159,-0.0615059,-0.0616212,-0.000115312,0.611096,0.611074,-2.27491e-05
1.76004e+09,160,-0.061448,-0.0615059,-5.79207e-05,0.611108,0.611096,-1.12801e-05
1.76004e+09,161,-0.0613899,-0.061448,-5.81021e-05,0.611119,0.611108,-1.12168e-05
1.76004e+09,162,-0.0613316,-0.0613899,-5.8287e-05,0.61113,0.611119,-1.11533e-05
1.76004e+09,163,-0.0612731,-0.0613899,-0.000116762,0.611141,0.611119,-2.22427e-05
1.76004e+09,164,-0.0612145,-0.0613316,-0.000117143,0.611152,0.61113,-2.21149e-05
1.76004e+09,165,-0.0611556,-0.0612731,-0.00011753,0.611163,0.611141,-2.19864e-05
1.76004e+09,166,-0.0610965,-0.0612145,-0.000117925,0.611174,0.611152,-2.18572e-05
1.76004e+09,167,-0.0610373,-0.0610965,-5.92648e-05,0.611185,0.611174,-1.08311e-05
1.76004e+09,168,-0.0609778,-0.0610373,-5.94711e-05,0.611196,0.611185,-1.07656e-05
1.76004e+09,169,-0.0609181,-0.0609778,-5.96809e-05,0.611206,0.611196,-1.06996e-05
1.76004e+09,170,-0.0608582,-0.0609181,-5.98943e-05,0.611217,0.611206,-1.06332e-05
1.76004e+09,171,-0.0607981,-0.0608582,-6.01112e-05,0.611227,0.611217,-1.05663e-05
1.76004e+09,172,-0.0607378,-0.0608582,-0.000120443,0.611238,0.611217,-2.10651e-05
1.76004e+09,173,-0.0606772,-0.0607378,-6.05558e-05,0.611248,0.611238,-1.04309e-05
1.76004e+09,174,-0.0606164,-0.0606772,-6.07834e-05,0.611259,0.611248,-1.03623e-05
1.76004e+09,175,-0.0605554,-0.0606164,-6.10146e-05,0.611269,0.611259,-1.02932e-05
1.76004e+09,176,-0.0604942,-0.0605554,-6.12494e-05,0.611279,0.611269,-1.02234e-05
1.76004e+09,177,-0.0604327,-0.0604942,-6.14878e-05,0.611289,0.611279,-1.01529e-05
1.76004e+09,178,-0.060371,-0.0604327,-6.17298e-05,0.6113,0.611289,-1.00817e-05
1.76004e+09,179,-0.060309,-0.0604327,-0.000123705,0.61131,0.611289,-2.00916e-05
1.76004e+09,180,-0.0602468,-0.060371,-0.0001242,0.611319,0.6113,-1.99471e-05
1.76004e+09,181,-0.0601843,-0.0602468,-6.24771e-05,0.611329,0.611319,-9.86379e-06
1.76004e+09,182,-0.0601215,-0.0601843,-6.27335e-05,0.611339,0.611329,-9.78955e-06
1.76004e+09,183,-0.0600586,-0.0601215,-6.29934e-05,0.611349,0.611339,-9.71446e-06
1.76004e+09,184,-0.0599953,-0.0600586,-6.32569e-05,0.611358,0.611349,-9.63849e-06
1.76004e+09,185,-0.0599318,-0.0599953,-6.3524e-05,0.611368,0.611358,-9.5616e-06
1.76004e+09,186,-0.059868,-0.0599953,-0.000127319,0.611378,0.611358,-1.90454e-05
1.76004e+09,187,-0.0598039,-0.0599318,-0.000127864,0.611387,0.611368,-1.88887e-05
1.76004e+09,188,-0.0597396,-0.0598039,-6.43471e-05,0.611396,0.611387,-9.32515e-06
1.76004e+09,189,-0.0596749,-0.0597396,-6.46287e-05,0.611405,0.611396,-9.2443e-06
1.76004e+09,190,-0.05961,-0.0596749,-6.49139e-05,0.611415,0.611405,-9.16236e-06
1.76004e+09,191,-0.0595448,-0.05961,-6.52028e-05,0.611424,0.611415,-9.07932e-06
1.76004e+09,192,-0.0594793,-0.0595448,-6.54953e-05,0.611433,0.611424,-8.99513e-06
1.76004e+09,193,-0.0594135,-0.0595448,-0.000131287,0.611442,0.611424,-1.79049e-05
1.76004e+09,194,-0.0593474,-0.0594135,-6.60913e-05,0.61145,0.611442,-8.82319e-06
1.76004e+09,195,-0.059281,-0.0593474,-6.63948e-05,0.611459,0.61145,-8.73537e-06
1.76004e+09,196,-0.0592143,-0.059281,-6.6702e-05,0.611468,0.611459,-8.64626e-06
1.76004e+09,197,-0.0591473,-0.0592143,-6.70128e-05,0.611476,0.611468,-8.55583e-06
1.76004e+09,198,-0.05908,-0.0591473,-6.73273e-05,0.611485,0.611476,-8.46405e-06
1.76004e+09,199,-0.0590124,-0.05908,-6.76455e-05,0.611493,0.611485,-8.37087e-06
1.76004e+09,200,-0.0589444,-0.0590124,-6.79674e-05,0.611501,0.611493,-8.27627e-06
1.76004e+09,201,-0.0588761,-0.0589444,-6.82931e-05,0.61151,0.611501,-8.18021e-06
1.76004e+09,202,-0.0588075,-0.0588761,-6.86224e-05,0.611518,0.61151,-8.08263e-06
1.76004e+09,203,-0.0587385,-0.0588075,-6.89554e-05,0.611526,0.611518,-7.98352e-06
1.76004e+09,204,-0.0586692,-0.0587385,-6.92922e-05,0.611534,0.611526,-7.88283e-06
1.76004e+09,205,-0.0585996,-0.0586692,-6.96327e-05,0.611541,0.611534,-7.78052e-06
1.76004e+09,206,-0.0585296,-0.0585996,-6.99769e-05,0.611549,0.611541,-7.67655e-06
1.76004e+09,207,-0.0584593,-0.0585296,-7.03249e-05,0.611557,0.611549,-7.57089e-06
1.76004e+09,208,-0.0583886,-0.0585296,-0.000141002,0.611564,0.611549,-1.50344e-05
1.76004e+09,209,-0.0583176,-0.0583886,-7.10322e-05,0.611571,0.611564,-7.3543e-06
1.76004e+09,210,-0.0582462,-0.0583176,-7.13915e-05,0.611579,0.611571,-7.2433e-06
1.76004e+09,211,-0.0581744,-0.0582462,-7.17546e-05,0.611586,0.611579,-7.13043e-06
1.76004e+09,212,-0.0581023,-0.0581744,-7.21215e-05,0.611593,0.611586,-7.01566e-06
1.76004e+09,213,-0.0580298,-0.0581023,-7.24921e-05,0.6116,0.611593,-6.89895e-06
1.76004e+09,214,-0.057957,-0.0580298,-7.28667e-05,0.611607,0.6116,-6.78025e-06
1.76004e+09,215,-0.0578837,-0.057957,-7.3245e-05,0.611613,0.611607,-6.65951e-06
1.76004e+09,216,-0.0578101,-0.0578837,-7.36272e-05,0.61162,0.611613,-6.5367e-06
1.76004e+09,217,-0.0577361,-0.0578101,-7.40132e-05,0.611626,0.61162,-6.41177e-06
1.76004e+09,218,-0.0576617,-0.0577361,-7.44031e-05,0.611632,0.611626,-6.28467e-06
1.76004e+09,219,-0.0575869,-0.0576617,-7.47968e-05,0.611639,0.611632,-6.15536e-06
1.76004e+09,220,-0.0575117,-0.0575869,-7.51945e-05,0.611645,0.611639,-6.02379e-06
1.76004e+09,221,-0.0574361,-0.0575117,-7.5596e-05,0.611651,0.611645,-5.88992e-06
1.76004e+09,222,-0.0573601,-0.0574361,-7.60014e-05,0.611656,0.611651,-5.7537e-06
1.76004e+09,223,-0.0572837,-0.0573601,-7.64108e-05,0.611662,0.611656,-5.61507e-06
1.76004e+09,224,-0.0572068,-0.0572837,-7.6824e-05,0.611667,0.611662,-5.474e-06
1.76004e+09,225,-0.0571296,-0.0572068,-7.72412e-05,0.611673,0.611667,-5.33043e-06
1.76004e+09,226,-0.0570519,-0.0571296,-7.76624e-05,0.611678,0.611673,-5.18431e-06
1.76004e+09,227,-0.0569739,-0.0570519,-7.80875e-05,0.611683,0.611678,-5.0356e-06
1.76004e+09,228,-0.0568953,-0.0569739,-7.85166e-05,0.611688,0.611683,-4.88424e-06
1.76004e+09,229,-0.0568164,-0.0569739,-0.000157466,0.611693,0.611683,-9.61442e-06
1.76004e+09,230,-0.056737,-0.0568953,-0.000158336,0.611697,0.611688,-9.30355e-06
1.76004e+09,231,-0.0566572,-0.0568164,-0.000159215,0.611701,0.611693,-8.98713e-06
1.76004e+09,232,-0.0565769,-0.0566572,-8.0273e-05,0.611706,0.611701,-4.25129e-06
1.76004e+09,233,-0.0564962,-0.0565769,-8.07222e-05,0.61171,0.611706,-4.0859e-06
1.76004e+09,234,-0.056415,-0.0564962,-8.11754e-05,0.611714,0.61171,-3.91755e-06
1.76004e+09,235,-0.0563334,-0.056415,-8.16327e-05,0.611717,0.611714,-3.74618e-06
1.76004e+09,236,-0.0562513,-0.056415,-0.000163727,0.611721,0.611714,-7.31792e-06
1.76004e+09,237,-0.0561687,-0.0562513,-8.25595e-05,0.611724,0.611721,-3.39415e-06
1.76004e+09,238,-0.0560857,-0.0561687,-8.30291e-05,0.611728,0.611724,-3.21338e-06
1.76004e+09,239,-0.0560022,-0.0560857,-8.35028e-05,0.611731,0.611728,-3.02936e-06
1.76004e+09,240,-0.0559182,-0.0560022,-8.39807e-05,0.611734,0.611731,-2.84202e-06
1.76004e+09,241,-0.0558337,-0.0559182,-8.44627e-05,0.611736,0.611734,-2.65132e-06
1.76004e+09,242,-0.0557488,-0.0558337,-8.49489e-05,0.611739,0.611736,-2.45719e-06
1.76004e+09,243,-0.0556633,-0.0557488,-8.54392e-05,0.611741,0.611739,-2.25957e-06
1.76004e+09,244,-0.0555774,-0.0556633,-8.59338e-05,0.611743,0.611741,-2.0584e-06
1.76004e+09,245,-0.055491,-0.0555774,-8.64326e-05,0.611745,0.611743,-1.85361e-06
1.76004e+09,246,-0.055404,-0.055491,-8.69356e-05,0.611746,0.611745,-1.64514e-06
1.76004e+09,247,-0.0553166,-0.055404,-8.74429e-05,0.611748,0.611746,-1.43293e-06
1.76004e+09,248,-0.0552287,-0.0553166,-8.79544e-05,0.611749,0.611748,-1.21691e-06
1.76004e+09,249,-0.0551402,-0.0552287,-8.84703e-05,0.61175,0.611749,-9.97017e-07
1.76004e+09,250,-0.0550512,-0.0552287,-0.000177461,0.611751,0.611749,-1.7702e-06
1.76004e+09,251,-0.0549617,-0.0551402,-0.000178505,0.611751,0.61175,-1.31851e-06
1.76004e+09,252,-0.0548716,-0.0549617,-9.00436e-05,0.611752,0.611751,-3.13407e-07
1.76004e+09,253,-0.0547811,-0.0548716,-9.05768e-05,0.611752,0.611752,-7.73337e-08
1.76004e+09,254,-0.0546899,-0.0547811,-9.11143e-05,0.611752,0.611752,1.62959e-07
1.76004e+09,255,-0.0545983,-0.0546899,-9.16562e-05,0.611751,0.611752,4.07542e-07
1.76004e+09,256,-0.0545061,-0.0546899,-0.000183859,0.611751,0.611752,1.06403e-06
1.76004e+09,257,-0.0544133,-0.0545061,-9.27533e-05,0.61175,0.611751,9.0987e-07
1.76004e+09,258,-0.05432,-0.0544133,-9.33084e-05,0.611749,0.61175,1.16776e-06
1.76004e+09,259,-0.0542262,-0.05432,-9.38681e-05,0.611747,0.611749,1.43024e-06
1.76004e+09,260,-0.0541317,-0.0542262,-9.44322e-05,0.611745,0.611747,1.69738e-06
1.76004e+09,261,-0.0540367,-0.0541317,-9.50009e-05,0.611743,0.611745,1.96926e-06
1.76004e+09,262,-0.0539411,-0.0540367,-9.5574e-05,0.611741,0.611743,2.24596e-06
1.76004e+09,263,-0.053845,-0.0539411,-9.61518e-05,0.611739,0.611741,2.52756e-06
1.76004e+09,264,-0.0537483,-0.053845,-9.6734e-05,0.611736,0.611739,2.81413e-06
1.76004e+09,265,-0.0536509,-0.0537483,-9.73209e-05,0.611733,0.611736,3.10576e-06
1.76004e+09,266,-0.053553,-0.0536509,-9.79124e-05,0.611729,0.611733,3.40254e-06
1.76004e+09,267,-0.0534545,-0.053553,-9.85084e-05,0.611726,0.611729,3.70454e-06
1.76004e+09,268,-0.0533554,-0.053553,-0.000197618,0.611722,0.611729,7.71639e-06
1.76004e+09,269,-0.0532557,-0.0534545,-0.000198824,0.611717,0.611726,8.33641e-06
