k,ZMP_ref_x,ZMP_ref_y,ZMP_x,COM_x,ZMP_y,COM_y
4069,0.2,-0.05,0.200242,0.191698,-0.0504821,-0.0330306
4070,0.2,-0.05,0.20024,0.191756,-0.0504789,-0.0331425
4071,0.2,-0.05,0.200238,0.191813,-0.0504757,-0.0332535
4072,0.2,-0.05,0.200237,0.191869,-0.0504725,-0.0333638
4073,0.2,-0.05,0.200235,0.191925,-0.0504694,-0.0334734
4074,0.2,-0.05,0.200234,0.191981,-0.0504662,-0.0335821
4075,0.2,-0.05,0.200232,0.192037,-0.0504631,-0.0336902
4076,0.2,-0.05,0.200231,0.192092,-0.05046,-0.0337974
4077,0.2,-0.05,0.200229,0.192147,-0.050457,-0.033904
4078,0.2,-0.05,0.200228,0.192201,-0.0504539,-0.0340098
4079,0.2,-0.05,0.200226,0.192255,-0.0504509,-0.0341148
4080,0.2,-0.05,0.200224,0.192309,-0.0504479,-0.0342192
4081,0.2,-0.05,0.200223,0.192363,-0.0504449,-0.0343228
4082,0.2,-0.05,0.200221,0.192416,-0.0504419,-0.0344257
4083,0.2,-0.05,0.20022,0.192468,-0.050439,-0.0345278
4084,0.2,-0.05,0.200219,0.192521,-0.0504361,-0.0346293
4085,0.2,-0.05,0.200217,0.192573,-0.0504331,-0.0347301
4086,0.2,-0.05,0.200216,0.192624,-0.0504303,-0.0348301
4087,0.2,-0.05,0.200214,0.192676,-0.0504274,-0.0349295
4088,0.2,-0.05,0.200213,0.192727,-0.0504245,-0.0350282
4089,0.2,-0.05,0.200211,0.192777,-0.0504217,-0.0351262
4090,0.2,-0.05,0.20021,0.192828,-0.0504189,-0.0352235
4091,0.2,-0.05,0.200209,0.192877,-0.0504161,-0.0353201
4092,0.2,-0.05,0.200207,0.192927,-0.0504133,-0.035416
4093,0.2,-0.05,0.200206,0.192976,-0.0504106,-0.0355113
4094,0.2,-0.05,0.200204,0.193025,-0.0504078,-0.035606
4095,0.2,-0.05,0.200203,0.193074,-0.0504051,-0.0356999
4096,0.2,-0.05,0.200202,0.193123,-0.0504024,-0.0357932
4097,0.2,-0.05,0.2002,0.193171,-0.0503997,-0.0358859
4098,0.2,-0.05,0.200199,0.193218,-0.0503971,-0.0359779
4099,0.2,-0.05,0.200198,0.193266,-0.0503944,-0.0360693
4100,0.2,-0.05,0.200196,0.193313,-0.0503918,-0.03616
4101,0.2,-0.05,0.200195,0.19336,-0.0503892,-0.0362501
4102,0.2,-0.05,0.200194,0.193406,-0.0503866,-0.0363395
4103,0.2,-0.05,0.200192,0.193452,-0.050384,-0.0364284
4104,0.2,-0.05,0.200191,0.193498,-0.0503815,-0.0365166
4105,0.2,-0.05,0.20019,0.193544,-0.050379,-0.0366042
4106,0.2,-0.05,0.200189,0.193589,-0.0503764,-0.0366912
4107,0.2,-0.05,0.200187,0.193634,-0.0503739,-0.0367775
4108,0.2,-0.05,0.200186,0.193679,-0.0503714,-0.0368633
4109,0.2,-0.05,0.200185,0.193723,-0.050369,-0.0369485
4110,0.2,-0.05,0.200184,0.193768,-0.0503665,-0.037033
4111,0.2,-0.05,0.200182,0.193811,-0.0503641,-0.037117
4112,0.2,-0.05,0.200181,0.193855,-0.0503617,-0.0372004
4113,0.2,-0.05,0.20018,0.193898,-0.0503592,-0.0372832
4114,0.2,-0.05,0.200179,0.193941,-0.0503569,-0.0373654
4115,0.2,-0.05,0.200178,0.193984,-0.0503545,-0.037447
